Sample_Number,Load_L1_T1,Load_L2_T1,Load_L3_T1,Wind_W1_T1,Wind_W2_T1,Load_L1_T2,Load_L2_T2,Load_L3_T2,Wind_W1_T2,Wind_W2_T2,Load_L1_T3,Load_L2_T3,Load_L3_T3,Wind_W1_T3,Wind_W2_T3,Load_L1_T4,Load_L2_T4,Load_L3_T4,Wind_W1_T4,Wind_W2_T4,Load_L1_T5,Load_L2_T5,Load_L3_T5,Wind_W1_T5,Wind_W2_T5,Load_L1_T6,Load_L2_T6,Load_L3_T6,Wind_W1_T6,Wind_W2_T6,Load_L1_T7,Load_L2_T7,Load_L3_T7,Wind_W1_T7,Wind_W2_T7,Load_L1_T8,Load_L2_T8,Load_L3_T8,Wind_W1_T8,Wind_W2_T8,Load_L1_T9,Load_L2_T9,Load_L3_T9,Wind_W1_T9,Wind_W2_T9,Load_L1_T10,Load_L2_T10,Load_L3_T10,Wind_W1_T10,Wind_W2_T10,Load_L1_T11,Load_L2_T11,Load_L3_T11,Wind_W1_T11,Wind_W2_T11,Load_L1_T12,Load_L2_T12,Load_L3_T12,Wind_W1_T12,Wind_W2_T12,Load_L1_T13,Load_L2_T13,Load_L3_T13,Wind_W1_T13,Wind_W2_T13,Load_L1_T14,Load_L2_T14,Load_L3_T14,Wind_W1_T14,Wind_W2_T14,Load_L1_T15,Load_L2_T15,Load_L3_T15,Wind_W1_T15,Wind_W2_T15,Load_L1_T16,Load_L2_T16,Load_L3_T16,Wind_W1_T16,Wind_W2_T16,Load_L1_T17,Load_L2_T17,Load_L3_T17,Wind_W1_T17,Wind_W2_T17,Load_L1_T18,Load_L2_T18,Load_L3_T18,Wind_W1_T18,Wind_W2_T18,Load_L1_T19,Load_L2_T19,Load_L3_T19,Wind_W1_T19,Wind_W2_T19,Load_L1_T20,Load_L2_T20,Load_L3_T20,Wind_W1_T20,Wind_W2_T20,Load_L1_T21,Load_L2_T21,Load_L3_T21,Wind_W1_T21,Wind_W2_T21,Load_L1_T22,Load_L2_T22,Load_L3_T22,Wind_W1_T22,Wind_W2_T22,Load_L1_T23,Load_L2_T23,Load_L3_T23,Wind_W1_T23,Wind_W2_T23,Load_L1_T24,Load_L2_T24,Load_L3_T24,Wind_W1_T24,Wind_W2_T24
533,112,56,112,30,10,120,112,120,10,10,112,112,120,30,30,56,120,120,30,10,112,120,120,10,10,120,56,112,10,30,56,56,120,30,30,120,112,56,30,30,56,56,56,10,30,56,112,56,30,10,112,120,120,10,10,120,112,56,10,30,112,56,112,10,30,112,112,112,10,30,56,56,120,30,30,112,120,56,30,10,56,120,120,10,30,120,56,120,30,30,112,56,56,10,10,112,112,112,10,10,112,56,56,10,10,120,120,120,30,10,112,56,112,10,30,120,112,56,10,10
534,120,112,56,10,10,112,120,120,10,30,112,112,112,30,30,56,120,120,30,10,120,112,120,10,30,112,56,112,30,30,112,120,56,30,30,112,112,112,10,30,120,120,120,10,10,120,120,120,30,10,56,112,112,10,30,120,112,56,10,30,56,112,120,10,10,112,112,120,10,10,56,120,112,10,10,112,112,112,30,10,112,112,120,30,10,56,120,112,30,10,120,112,120,10,30,112,112,56,10,10,112,56,56,30,30,112,112,112,10,10,112,120,56,30,30,112,120,56,10,10
535,120,120,120,30,10,56,56,120,30,30,56,112,112,10,10,112,112,112,10,30,120,120,56,10,10,56,120,56,30,30,56,56,112,30,30,56,56,112,10,10,56,120,112,30,10,120,112,120,30,30,112,56,56,10,30,120,120,56,10,10,56,120,56,30,30,56,56,120,30,30,120,56,56,10,30,56,56,120,30,10,56,112,112,30,10,56,120,112,30,30,112,112,120,10,30,112,112,120,10,10,56,56,112,30,10,120,112,112,30,30,120,112,120,10,10,56,112,56,10,10
536,56,112,56,30,10,120,56,56,10,30,56,56,120,30,30,120,120,120,10,10,56,112,120,10,30,120,56,56,30,30,112,56,56,10,10,120,56,112,30,30,112,112,112,30,30,112,120,120,30,30,120,120,56,30,30,112,112,112,10,30,120,120,56,10,10,56,112,120,10,30,120,56,112,10,10,120,56,112,30,10,112,120,56,30,30,56,120,120,30,30,112,112,56,10,10,120,120,112,30,10,112,120,120,30,30,120,112,120,10,10,56,120,120,10,10,112,112,112,30,30
537,120,56,56,30,10,120,120,112,30,30,56,56,120,30,30,120,56,56,30,10,56,120,56,10,30,56,112,56,30,30,112,112,112,30,10,120,56,112,30,10,112,56,56,10,30,56,120,120,30,10,56,56,112,30,10,120,56,112,30,30,120,56,56,30,10,112,56,56,30,10,112,120,112,10,10,112,56,112,10,10,112,120,56,30,10,56,120,120,30,10,120,112,56,30,10,120,56,112,30,10,56,56,112,10,10,112,112,112,10,30,120,120,120,10,10,112,120,120,30,10
538,112,112,112,10,30,112,56,120,10,30,120,112,120,30,10,112,56,120,10,10,112,56,56,10,30,56,112,112,10,10,112,120,56,10,10,120,112,56,30,10,56,120,56,30,10,112,120,112,10,30,112,112,56,30,10,112,112,112,10,10,120,120,120,30,30,120,112,120,10,30,112,120,120,10,10,120,120,56,30,30,56,56,56,30,30,112,112,120,30,10,56,120,112,10,30,56,56,56,10,10,56,112,120,30,10,120,120,56,30,10,120,112,56,30,30,120,56,112,10,30
539,56,120,56,10,10,112,112,112,10,30,56,112,112,30,30,120,56,112,10,30,56,120,112,30,10,56,56,56,10,10,112,56,112,30,30,120,56,56,10,30,120,56,56,10,30,120,56,56,30,30,56,120,112,10,10,120,120,120,10,10,120,120,120,30,30,112,120,112,30,10,112,56,56,30,10,120,112,120,30,30,120,112,112,30,30,120,56,56,30,10,112,56,56,10,30,120,56,56,10,30,56,112,120,10,30,56,120,112,30,10,56,112,120,30,10,120,56,120,30,30
540,112,120,56,30,30,112,112,112,10,10,112,56,112,30,30,112,120,112,10,30,56,56,112,30,10,56,56,120,30,30,112,120,120,30,30,56,56,112,30,30,120,56,112,30,30,120,56,56,30,30,120,56,120,10,30,112,120,112,30,10,56,112,56,10,10,112,56,56,30,30,112,56,120,30,10,112,120,56,30,10,56,56,120,30,30,56,56,112,10,30,56,112,120,30,10,56,112,56,10,30,56,112,112,10,10,120,56,120,10,30,56,112,120,10,10,120,120,56,10,30
541,120,120,56,10,10,120,120,56,30,10,56,56,112,10,10,56,112,120,30,30,112,56,120,10,10,120,112,56,10,30,112,112,56,10,10,112,56,112,10,30,120,112,112,10,30,120,56,120,10,10,56,56,56,30,10,56,120,56,10,10,56,120,120,30,10,112,120,120,10,30,112,56,120,30,30,120,112,56,10,30,112,56,112,10,10,56,56,120,30,30,120,56,56,10,10,112,56,112,10,30,120,56,56,10,10,56,120,120,10,30,112,56,120,10,30,56,56,120,10,10
542,56,120,56,10,10,112,56,120,30,10,120,112,120,10,10,56,120,56,30,30,120,112,56,10,30,112,56,120,30,30,56,112,120,30,30,56,112,120,10,30,112,120,120,10,10,120,120,112,10,30,120,112,56,10,10,112,112,56,30,10,56,56,56,30,30,112,112,112,30,30,120,56,56,30,10,120,56,120,30,30,112,120,112,30,10,120,56,112,30,30,56,112,120,10,30,120,112,56,10,30,112,112,112,10,30,112,120,56,10,30,56,120,56,10,10,120,112,120,10,30
543,112,56,56,30,30,56,112,56,30,30,56,56,112,10,10,112,112,56,30,30,112,112,56,10,30,120,56,120,30,30,112,120,112,30,30,120,120,56,10,10,112,112,56,30,10,56,56,56,10,30,112,120,112,10,30,56,120,120,10,10,112,120,112,10,30,120,56,112,10,10,56,112,120,10,10,112,120,56,10,10,56,112,120,30,10,120,112,120,10,10,112,120,56,10,30,120,112,112,10,10,112,56,56,30,10,120,56,120,30,30,56,112,120,10,30,56,112,56,30,30
544,56,56,56,30,10,120,112,120,30,10,112,112,112,30,30,120,120,120,10,30,120,120,56,10,30,120,56,56,30,30,120,120,56,10,30,112,112,112,10,10,56,120,112,10,30,112,112,112,30,30,56,120,112,10,30,56,112,112,30,10,112,56,112,30,30,56,112,120,30,30,120,120,56,10,30,120,112,56,30,30,56,112,56,10,10,56,56,112,10,30,120,120,56,30,30,56,56,120,10,10,112,120,112,10,30,56,56,120,30,10,112,112,120,10,10,120,56,120,10,10
545,56,56,112,10,10,120,120,120,30,10,56,56,112,10,30,112,56,112,10,10,56,56,120,10,30,112,112,120,10,10,112,112,56,10,30,112,56,112,10,30,120,112,112,10,30,112,56,56,30,30,56,56,120,30,10,120,120,56,30,30,112,120,120,30,30,120,112,56,30,10,120,56,56,10,30,112,120,112,30,30,120,112,112,30,10,120,56,56,30,10,112,112,56,10,30,120,120,120,10,30,112,56,112,10,30,120,56,56,10,10,56,56,112,10,30,112,56,56,30,30
546,56,112,112,10,10,120,56,112,10,30,120,112,120,10,30,56,120,112,30,10,56,120,112,30,10,56,56,120,10,10,112,112,112,10,10,56,112,112,10,10,112,56,112,10,30,112,56,56,30,10,56,120,56,30,10,56,56,56,30,30,112,56,120,10,10,56,56,112,10,10,56,120,112,10,10,112,112,56,30,30,120,112,120,30,10,120,56,112,10,30,120,120,120,10,10,112,120,112,10,10,56,120,112,30,30,120,120,120,10,10,120,120,112,30,30,56,120,112,10,10
547,112,112,120,30,30,120,112,112,30,30,112,120,112,30,10,56,112,112,10,10,120,56,112,30,30,112,112,56,10,10,112,56,56,30,30,112,120,112,10,30,56,112,56,10,10,120,120,112,30,10,56,112,56,30,30,112,112,56,10,30,120,120,112,10,10,120,120,120,30,10,56,120,112,30,10,120,120,120,30,30,112,120,112,30,30,120,56,56,30,30,112,56,112,10,30,120,120,56,30,30,112,120,56,30,10,56,56,112,30,30,56,112,112,10,30,112,120,120,10,10
548,112,120,56,10,30,120,112,56,30,30,56,56,56,30,10,112,120,56,10,30,112,112,120,10,10,56,56,120,30,10,56,120,56,30,30,120,120,56,30,30,120,112,120,30,30,120,120,120,30,30,56,56,112,10,10,112,56,120,10,10,112,56,56,10,30,56,120,120,10,10,56,56,120,10,30,112,112,120,30,30,120,120,56,30,10,112,120,120,10,10,112,112,120,30,30,120,120,56,10,10,112,112,56,10,30,56,56,56,10,10,112,120,120,30,30,56,120,120,30,10
549,56,120,56,10,30,56,120,56,10,30,120,56,112,30,10,56,56,120,10,10,112,56,56,30,30,120,112,56,10,30,120,56,56,30,10,112,120,56,30,30,120,120,112,10,10,56,56,112,30,30,120,56,120,30,10,120,56,120,30,10,112,56,120,10,10,56,56,56,10,10,120,56,120,30,30,112,56,112,10,10,112,120,120,10,10,56,112,120,30,30,120,112,56,10,10,112,120,56,30,30,120,120,56,30,10,56,56,112,10,30,120,56,112,10,30,120,56,112,10,30
550,112,120,56,30,10,112,112,120,10,10,112,56,120,30,30,56,56,56,30,30,120,112,120,30,30,56,120,56,30,10,112,56,112,10,30,112,56,56,10,10,120,112,120,10,10,56,112,56,10,10,112,112,120,10,10,120,120,112,10,10,112,120,56,30,30,112,120,112,30,10,56,56,120,10,10,112,56,120,10,10,56,56,112,10,10,120,112,112,10,30,112,120,56,30,10,112,56,56,30,10,56,112,112,10,30,120,56,56,30,30,120,112,56,10,30,56,120,120,10,10
551,112,56,56,30,30,120,112,112,30,10,56,56,112,10,10,120,112,56,30,10,120,56,56,10,30,120,112,112,10,10,120,120,120,30,30,112,112,56,10,30,112,112,120,10,30,120,112,112,30,10,120,112,112,10,30,112,56,120,10,10,120,112,56,10,10,112,112,56,10,10,56,56,112,30,10,56,112,120,10,30,120,56,120,30,10,56,112,56,10,10,112,120,56,30,10,120,112,56,10,10,120,112,112,30,30,112,120,112,10,30,120,120,112,30,10,120,112,56,30,10
552,120,120,56,30,10,112,120,120,10,10,56,120,112,30,10,112,120,120,10,10,120,120,120,30,30,120,120,120,10,30,112,120,120,10,10,120,56,56,30,10,120,112,56,30,30,112,56,120,10,10,112,56,112,30,10,120,56,56,30,30,112,56,112,10,10,120,120,120,30,30,120,112,56,10,10,112,120,120,30,10,56,120,120,10,30,120,56,112,30,10,112,120,120,30,10,56,112,56,10,10,112,120,56,30,30,56,56,112,30,30,112,56,112,30,10,112,120,56,10,30
553,56,112,120,10,30,56,120,56,10,10,112,112,120,30,10,56,112,56,30,30,56,56,120,10,10,112,56,120,10,30,112,112,112,10,10,112,120,112,10,10,112,120,112,10,10,112,112,112,10,30,112,120,120,10,30,56,56,120,10,10,56,56,120,10,30,112,56,56,10,10,120,56,112,10,10,112,56,112,30,10,120,112,56,30,10,112,112,120,30,10,112,56,112,30,30,56,112,120,30,10,56,112,56,30,10,120,112,56,30,10,112,120,56,30,30,120,112,120,10,30
554,56,112,56,30,10,56,56,112,30,10,112,112,56,30,10,56,120,56,10,10,112,120,56,10,30,120,112,112,30,10,112,120,112,30,30,120,56,56,30,10,120,112,120,30,30,56,112,56,10,30,56,112,120,30,30,56,120,56,10,30,112,112,56,30,10,112,120,112,30,10,120,112,56,30,10,112,120,112,10,10,112,56,56,10,10,112,120,112,10,30,120,112,120,10,30,120,112,56,10,30,112,112,120,30,30,112,112,56,30,10,120,112,120,10,10,120,56,120,10,30
555,112,56,56,30,30,112,112,56,30,10,56,56,120,10,30,56,120,56,30,30,120,120,56,10,10,112,120,56,10,30,56,56,112,10,10,120,56,112,30,30,112,112,120,10,10,112,120,112,10,10,112,56,56,10,10,112,56,120,30,10,56,120,112,30,30,112,56,120,10,30,120,112,112,10,30,56,56,120,30,10,120,112,56,30,30,56,56,112,10,10,112,112,112,10,30,120,56,112,10,10,112,120,112,10,10,56,120,120,30,10,112,120,56,30,10,120,120,120,10,30
556,56,112,120,30,30,56,120,120,30,10,56,120,56,30,10,56,112,112,10,30,120,120,56,10,30,112,120,56,30,30,56,120,112,30,10,112,120,56,10,10,120,120,120,30,30,56,120,120,10,10,120,112,112,30,10,56,56,112,30,30,120,56,112,30,30,56,120,112,10,30,112,120,112,30,30,120,112,112,30,10,112,120,120,30,10,112,112,56,30,30,112,112,56,30,30,120,120,112,10,10,56,56,112,30,10,112,120,56,10,10,112,120,112,30,10,120,120,120,10,30
557,112,120,120,10,30,56,120,112,10,30,120,120,112,10,10,112,112,120,10,30,120,120,56,10,10,120,112,120,10,10,120,112,120,10,10,120,112,112,30,10,120,56,112,30,10,112,56,112,30,10,120,56,56,10,10,112,120,56,30,30,56,120,56,30,10,120,120,56,10,30,112,56,120,10,30,112,112,56,10,10,56,120,120,10,10,56,120,112,30,10,112,120,112,30,10,56,112,120,10,10,120,56,56,30,10,56,112,120,10,30,120,112,120,30,10,112,120,56,10,10
558,112,56,112,30,10,56,112,56,30,30,120,56,112,10,30,120,56,112,10,30,56,120,56,30,10,120,112,56,30,10,120,56,120,10,30,112,112,56,30,30,56,112,112,10,30,112,112,112,10,10,56,120,112,30,30,56,112,56,10,30,56,112,112,30,30,112,56,112,30,10,112,56,56,30,10,56,112,56,30,10,120,120,120,30,30,56,120,112,10,10,120,112,120,10,10,120,112,112,30,10,112,120,112,30,30,56,56,56,30,10,112,112,120,30,30,120,120,112,30,30
559,112,112,56,30,10,56,120,56,10,30,56,56,120,30,10,120,56,112,30,30,56,56,56,30,30,120,56,112,30,30,56,56,120,10,30,56,56,56,10,30,112,120,56,30,10,56,56,56,30,10,120,112,56,10,10,56,120,56,30,10,56,112,112,30,30,112,56,56,30,10,56,56,120,10,30,120,120,112,10,10,120,120,120,30,30,120,56,120,10,10,112,56,112,30,10,112,56,112,10,30,120,112,112,10,30,120,120,120,10,10,112,56,56,10,30,112,112,112,10,10
560,120,56,56,10,10,112,56,112,30,30,120,112,56,30,10,56,56,56,10,10,56,112,56,10,30,120,120,56,10,10,112,56,56,10,30,120,112,120,30,30,56,120,120,10,10,120,56,56,10,10,120,120,56,10,30,120,112,120,30,10,112,112,56,30,10,112,112,112,10,30,112,56,56,10,10,56,120,112,10,10,56,112,56,30,10,112,56,56,30,30,120,112,120,30,10,112,56,120,30,30,56,112,56,10,10,56,56,56,30,10,120,112,120,10,30,56,120,120,10,10
561,56,112,120,30,30,112,56,120,10,30,56,56,120,30,10,120,120,120,10,30,120,112,120,10,30,56,56,112,10,10,120,120,56,30,30,120,120,112,10,30,120,120,120,30,10,112,120,120,10,10,120,56,112,10,10,120,56,56,10,10,112,120,56,30,30,120,112,120,10,10,112,112,120,30,10,56,56,56,30,30,56,112,112,30,10,56,112,112,30,10,120,56,120,10,10,120,120,120,30,10,112,56,120,30,10,112,112,56,30,30,56,112,56,30,10,112,112,56,30,30
562,112,56,120,10,30,56,120,56,30,10,120,112,112,30,10,112,56,112,10,30,56,120,56,30,10,120,56,56,30,10,112,120,120,10,30,112,56,56,30,10,112,112,120,30,10,112,56,120,30,10,120,56,120,10,30,56,112,120,10,30,56,120,120,10,30,120,56,120,10,10,56,56,120,30,10,112,56,112,30,30,56,56,56,30,10,120,120,112,10,10,120,120,56,30,30,120,120,56,10,10,112,56,56,10,30,112,56,56,30,10,112,112,112,10,30,56,56,120,30,30
563,112,112,120,10,10,120,112,56,10,10,120,56,120,30,10,56,112,120,30,30,120,112,120,30,30,56,120,120,30,30,120,120,120,10,10,120,120,120,10,10,120,56,120,30,30,56,112,56,30,10,112,120,112,10,30,120,120,56,10,10,56,120,56,30,10,56,112,112,30,10,112,56,56,30,30,56,112,112,10,10,120,56,56,10,10,56,112,120,30,30,120,120,120,10,10,112,56,56,30,30,120,56,120,30,30,120,120,120,10,10,120,56,112,30,30,120,112,112,10,30
564,112,112,56,30,30,120,56,112,30,10,112,120,56,30,30,112,120,120,30,30,120,56,56,10,30,120,112,112,30,10,112,120,120,30,30,56,112,120,30,10,120,56,112,10,30,56,112,120,10,30,112,120,56,30,30,56,56,56,10,30,120,56,112,30,30,120,56,112,10,10,56,56,56,30,30,56,112,112,10,30,120,120,56,10,30,112,112,120,10,30,120,120,120,30,30,120,56,56,10,10,120,112,112,10,10,120,56,56,10,30,120,56,56,30,30,120,56,112,10,30
565,56,112,56,30,10,56,120,120,30,10,56,56,112,10,10,56,120,120,10,30,56,56,120,30,30,112,120,112,10,30,56,56,120,10,30,56,112,120,10,30,56,112,56,30,10,120,120,112,10,10,56,56,56,10,30,112,112,120,30,30,112,56,112,30,30,56,120,112,10,10,120,56,112,10,30,120,120,120,10,30,56,120,56,30,30,112,112,56,30,10,120,120,56,30,30,120,120,120,10,10,112,56,112,30,30,120,120,112,30,30,112,120,120,10,30,120,56,56,30,30
566,120,112,120,30,30,120,112,56,10,30,112,56,120,10,10,56,56,120,10,30,112,120,56,30,10,112,112,56,10,30,112,120,112,30,30,112,112,112,30,10,112,56,112,10,30,112,56,112,10,10,112,120,56,30,10,56,120,120,30,30,56,56,56,30,10,112,56,56,30,30,56,112,56,30,10,112,112,56,10,10,56,112,56,30,30,56,120,120,10,10,56,56,112,10,10,120,120,56,30,30,56,112,112,30,10,56,112,56,30,30,120,120,112,10,10,112,120,120,30,10
567,112,112,112,10,10,120,56,112,10,10,120,112,112,10,10,56,120,112,30,30,120,112,112,30,30,56,56,56,30,10,112,112,120,30,30,112,112,56,30,10,120,56,56,30,10,120,112,56,10,30,56,120,56,10,30,56,112,112,30,30,56,120,112,30,30,120,120,56,30,10,120,56,56,10,30,120,112,120,30,30,112,120,120,10,10,120,56,112,10,10,120,56,112,30,10,120,56,120,30,30,120,120,120,30,30,112,120,120,30,30,112,120,120,30,30,112,120,112,10,10
568,120,112,112,30,30,56,120,120,10,10,56,56,112,30,10,112,112,112,30,30,120,112,112,10,10,120,56,56,10,30,120,56,56,30,10,56,56,120,10,10,120,112,120,10,30,112,56,56,30,10,112,120,56,10,10,112,112,112,10,10,120,56,112,10,30,56,120,120,30,10,56,56,120,10,10,120,112,120,30,30,120,112,120,10,30,56,112,112,30,10,56,56,56,10,30,120,120,120,10,30,56,56,120,30,10,120,120,120,30,10,112,56,120,30,10,120,56,120,10,10
569,112,56,112,30,10,56,120,120,30,10,112,56,112,10,30,112,56,112,10,30,120,120,56,10,30,56,56,56,30,10,120,56,112,10,10,112,112,56,30,30,112,56,56,30,10,56,120,56,30,30,120,112,120,30,30,120,120,56,30,30,56,120,56,30,30,120,56,56,10,10,56,56,112,30,10,56,56,120,10,10,112,56,56,10,10,112,120,112,10,30,120,120,112,30,30,120,120,112,10,10,56,112,112,10,10,112,56,112,10,10,56,56,112,30,30,56,56,56,10,10
570,56,112,56,10,30,112,112,120,30,10,120,112,112,10,30,120,120,112,10,30,120,112,56,30,10,56,120,120,10,10,56,112,120,10,30,120,56,112,10,10,120,56,120,30,30,120,120,120,10,10,112,112,120,10,10,56,112,56,30,30,56,56,112,10,10,112,56,56,10,30,112,56,120,30,10,56,112,120,10,10,112,120,56,10,30,112,120,56,10,30,112,120,120,30,30,120,56,120,10,10,120,56,112,30,30,56,120,120,10,30,112,112,120,10,10,112,120,120,10,30
571,120,112,120,30,10,56,112,56,30,10,112,112,112,30,30,112,120,112,10,30,112,56,112,10,30,56,112,120,30,10,120,120,56,30,30,112,56,120,10,10,120,112,56,30,30,120,56,120,10,30,56,56,56,30,10,56,112,120,30,10,56,120,56,10,30,112,112,56,30,10,56,120,120,10,10,120,120,120,30,10,120,56,120,30,10,112,112,112,30,30,112,56,120,10,10,120,112,120,30,30,112,120,56,30,30,56,112,112,30,30,120,120,56,10,10,120,56,56,30,30
572,120,112,56,10,30,56,112,112,10,10,120,56,56,30,30,120,112,112,30,30,120,56,112,10,10,120,120,112,30,30,112,112,112,30,10,120,120,56,10,30,112,112,112,10,10,112,56,56,30,30,112,56,56,30,30,120,120,112,10,10,120,112,112,10,10,56,120,120,30,10,120,120,112,30,10,120,120,112,10,30,120,56,56,30,30,56,120,120,10,10,56,120,56,10,30,56,56,112,30,30,112,120,120,30,10,112,120,120,10,30,120,112,56,30,10,120,112,120,30,30
573,112,56,120,30,10,120,56,112,10,10,56,120,120,10,30,56,112,120,30,30,56,112,120,30,30,56,112,112,30,10,56,112,120,10,30,120,56,56,10,30,120,112,112,30,30,120,112,56,30,10,56,112,56,30,10,56,120,112,10,30,120,120,56,30,10,120,120,56,30,30,112,112,56,10,30,56,120,120,30,30,112,120,56,30,30,112,112,112,10,10,112,56,56,30,30,56,120,120,10,30,56,112,120,30,10,56,120,112,10,30,120,112,112,30,10,56,112,120,30,30
574,56,120,56,10,10,112,112,120,30,30,120,112,56,30,10,112,112,120,30,10,120,120,56,10,30,120,120,56,10,30,120,56,120,30,10,56,120,56,30,30,120,120,120,30,30,120,56,112,30,10,112,56,56,30,30,56,56,112,10,30,120,112,120,10,10,56,120,112,30,10,56,112,56,30,30,112,120,112,30,30,112,56,120,30,10,112,120,120,30,10,56,112,56,30,30,112,56,112,10,10,112,120,112,10,30,56,56,112,10,30,120,112,120,10,10,112,120,112,10,10
575,120,56,112,30,10,120,120,120,10,10,120,112,56,30,10,56,112,120,10,30,120,120,120,10,30,112,112,112,10,30,120,112,120,10,30,120,56,120,10,30,56,56,112,30,10,112,120,56,30,10,120,120,112,30,30,112,56,120,30,30,120,120,56,30,10,120,112,112,10,10,56,120,120,30,30,112,56,56,10,10,120,120,56,30,30,56,120,56,10,10,120,120,112,10,10,56,112,56,10,10,112,56,112,30,10,112,56,120,10,30,120,112,112,10,30,56,56,120,30,30
576,120,56,56,10,30,112,112,112,10,10,112,120,112,30,10,56,120,112,30,30,56,112,56,30,30,56,120,56,30,30,56,120,112,10,30,120,120,56,10,10,120,120,56,10,30,112,120,56,10,30,120,56,112,30,30,120,56,112,30,10,56,120,120,10,10,56,112,56,10,10,56,112,120,30,10,56,56,112,30,10,120,56,112,10,10,56,120,120,10,30,56,56,112,10,30,56,56,56,10,10,112,112,120,30,30,112,120,56,10,30,56,112,56,30,10,56,56,56,30,30
577,120,112,112,30,30,112,120,120,30,10,120,56,120,10,10,56,56,120,10,10,56,120,112,30,10,120,56,56,30,10,56,120,56,10,10,112,112,112,10,10,120,120,120,30,30,120,56,112,30,10,56,120,112,10,30,112,112,120,30,30,56,56,56,30,30,120,112,112,30,30,120,112,120,30,10,112,120,56,30,10,120,120,112,30,10,56,56,56,30,30,112,56,112,30,30,56,56,112,10,30,120,120,56,10,30,112,56,56,10,10,112,112,56,30,10,112,56,112,30,10
578,112,112,120,10,10,56,120,56,10,10,120,120,112,30,30,112,56,120,10,10,112,112,112,10,10,56,56,56,10,10,112,56,120,30,10,120,120,112,10,30,56,120,56,10,10,120,112,112,10,10,120,56,120,30,30,120,112,112,30,10,120,56,56,30,10,120,112,120,10,30,112,112,112,10,10,112,120,112,10,30,120,120,112,30,30,120,120,120,30,10,120,120,120,10,30,56,56,56,10,30,56,120,112,10,30,112,112,56,30,30,56,56,120,30,30,56,112,120,10,30
579,112,120,120,30,30,56,112,56,10,30,56,120,120,10,10,120,112,56,30,30,56,112,56,30,10,112,112,120,30,10,56,56,112,30,30,56,56,112,30,30,56,56,112,30,10,120,112,56,30,30,120,120,120,10,10,56,56,56,10,10,120,56,120,30,10,56,56,56,10,10,56,120,56,30,10,56,120,120,10,30,120,120,120,30,30,120,56,120,30,30,112,56,56,30,30,56,112,112,10,10,112,112,56,30,10,120,112,120,10,30,120,56,56,10,10,120,56,112,30,30
580,56,56,120,10,30,120,56,56,30,30,112,112,56,10,10,112,120,120,30,10,120,120,112,10,10,56,112,120,10,30,112,112,120,10,30,56,112,112,10,30,120,56,112,30,30,120,112,56,10,10,120,120,112,10,10,56,112,56,30,10,112,56,112,30,30,56,56,112,10,30,56,112,56,10,30,112,120,120,30,10,56,112,120,10,10,120,112,56,30,10,120,120,112,30,10,56,120,56,10,10,112,112,56,30,10,112,120,120,10,10,112,112,56,30,10,112,120,56,10,30
581,120,56,112,30,30,112,56,56,30,30,120,56,56,30,30,56,120,112,30,30,56,112,112,10,30,120,120,120,30,30,56,56,112,10,10,56,56,112,10,30,120,56,112,10,10,56,56,120,10,10,56,56,120,30,30,112,112,112,10,30,120,112,120,30,10,120,112,112,30,30,112,56,120,30,10,112,112,120,10,10,120,56,120,30,30,56,120,120,30,10,56,112,120,30,10,120,112,112,30,30,112,112,112,10,10,112,112,56,10,10,112,120,120,30,10,56,56,120,30,30
582,56,120,112,30,10,56,56,56,30,30,56,56,112,30,30,120,112,56,10,10,120,120,112,10,10,56,56,120,30,10,56,112,120,30,30,112,112,120,10,10,120,120,56,10,10,120,120,120,10,10,112,56,120,30,30,120,120,120,10,30,120,120,112,10,30,112,56,112,30,30,56,56,120,10,10,112,56,120,30,30,112,56,120,10,30,112,56,120,30,30,56,120,112,30,10,120,120,56,10,10,56,112,112,30,30,56,112,120,30,30,56,120,120,10,10,120,56,56,10,30
583,112,120,120,30,30,56,120,56,30,10,112,120,112,30,10,112,112,112,30,10,120,120,120,10,10,120,56,112,10,30,56,120,56,10,10,112,56,56,10,30,56,56,112,30,10,120,56,120,10,10,112,112,120,30,30,56,112,120,10,10,120,112,56,10,10,56,120,112,10,30,120,120,112,30,30,120,56,112,10,10,56,112,56,10,10,120,120,120,30,10,120,120,56,10,10,56,112,112,30,10,56,56,120,10,30,56,56,120,10,10,112,112,112,30,30,56,120,112,10,10
584,56,120,120,30,30,56,120,120,30,10,112,112,120,30,10,56,120,56,10,30,120,120,112,30,10,120,112,112,30,10,56,56,112,30,10,120,120,56,10,30,112,120,112,10,10,56,112,120,10,10,120,120,56,10,30,112,112,120,10,10,112,120,120,10,10,112,112,112,30,30,112,120,56,30,30,120,120,112,10,10,112,120,56,10,10,56,112,112,10,10,112,56,120,30,30,56,56,112,30,10,120,56,56,10,30,120,112,112,10,30,120,56,120,10,10,56,112,56,10,10
585,56,56,120,30,30,112,120,120,10,30,56,120,112,10,10,112,112,56,10,30,120,120,120,10,10,56,112,56,30,30,112,120,120,30,30,56,120,120,10,10,120,120,120,30,30,56,120,56,10,30,120,112,112,10,10,112,56,56,10,30,120,56,120,10,10,120,112,120,30,10,120,112,56,10,30,120,120,56,30,30,112,56,120,10,30,112,120,56,30,10,56,112,120,30,10,56,120,56,10,30,120,112,112,10,30,120,112,120,10,30,112,120,112,10,30,120,120,112,10,10
